	# ID	name	start	stop	frame	product	description	function	cogcats	status_region	status_function	type	region_number	function_number	start_adjst	end_adjst
0	Rd_00005	dnaA CDS	1	1365	-	chromosomal replication initiator protein DnaA	-	-	-	-	-	CDS	-	-	1	1365
1	Rd_00010	dnaN CDS	1378	2478	-	DNA polymerase III subunit beta	-	-	-	-	-	CDS	-	-	1378	2478
2	Rd_00015	recF CDS	2480	3559	-	DNA replication/repair protein RecF	-	-	-	-	-	CDS	-	-	2480	3559
3	Rd_00020	iga1 CDS	3801	8885	-	immunoglobin A1 protease	-	-	-	-	-	CDS	-	-	3801	8885
4	Rd_00025c	leuD CDS	9601	8999	-	3-isopropylmalate dehydratase small subunit	-	-	-	-	-	CDS	-	-	8999	9601
5	Rd_00030c	leuC CDS	11034	9625	-	3-isopropylmalate dehydratase large subunit	-	-	-	-	-	CDS	-	-	9625	11034
6	Rd_00035c	leuB CDS	12286	11210	-	3-isopropylmalate dehydrogenase	-	-	-	-	-	CDS	-	-	11210	12286
7	Rd_00040c	leuA CDS	13919	12372	-	2-isopropylmalate synthase	-	-	-	-	-	CDS	-	-	12372	13919
8	Rd_00045	dprA CDS	14476	15597	-	DNA-processing protein DprA	-	-	-	-	-	CDS	-	-	14476	15597
9	Rd_00050	yaaA CDS	15651	16427	-	peroxide stress protein YaaA	-	-	-	-	-	CDS	-	-	15651	16427
10	Rd_00055	Uncharacterized protein CDS	16420	17001	-	Uncharacterized protein	-	-	-	-	-	CDS	-	-	16420	17001
11	Rd_00060	pfkA CDS	17097	18062	-	6-phosphofructokinase	-	-	-	-	-	CDS	-	-	17097	18062
12	Rd_00065	smpB CDS	18301	18786	-	SsrA-binding protein SmpB	-	-	-	-	-	CDS	-	-	18301	18786
13	Rd_00070c	fis CDS	19180	18881	-	DNA-binding transcriptional regulator Fis	-	-	-	-	-	CDS	-	-	18881	19180
14	Rd_00075c	dusB CDS	20234	19161	-	tRNA dihydrouridine synthase DusB	-	-	-	-	-	CDS	-	-	19161	20234
15	Rd_00080c	prmA CDS	21187	20300	-	50S ribosomal protein L11 methyltransferase	-	-	-	-	-	CDS	-	-	20300	21187
16	Rd_00085c	fIDO CDS	21803	21228	-	putative protein adenylyltransferase	-	-	-	-	-	CDS	-	-	21228	21803
17	Rd_00090c	Uncharacterized transporter CDS	22677	21805	-	Uncharacterized transporter	-	-	-	-	-	CDS	-	-	21805	22677
18	Rd_00095c	panF CDS	24251	22797	-	sodium/pantothenate symporter	-	-	-	-	-	CDS	-	-	22797	24251
19	Rd_00100c	yhdT CDS	24505	24248	-	Uncharacterized protein	-	-	-	-	-	CDS	-	-	24248	24505
20	Rd_00105c	ompU1 CDS	26062	24956	-	Outer membrane protein OmpU1	-	-	-	-	-	CDS	-	-	24956	26062
21	Rd_00110c	Uncharacterized protein CDS	26995	26126	-	Uncharacterized protein	-	-	-	-	-	CDS	-	-	26126	26995
22	Rd_00115c	accC CDS	28491	27145	-	acetyl-CoA carboxylase biotin carboxylase subunit	-	-	-	-	-	CDS	-	-	27145	28491
23	Rd_00120c	accB CDS	29135	28668	-	acetyl-CoA carboxylase biotin carboxyl carrier protein	-	-	-	-	-	CDS	-	-	28668	29135
24	Rd_00125c	aroQ CDS	29737	29288	-	type II 3-dehydroquinate dehydratase	-	-	-	-	-	CDS	-	-	29288	29737
25	Rd_00130c	menC CDS	30784	29795	-	o-succinylbenzoate synthase	-	-	-	-	-	CDS	-	-	29795	30784
